date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:18	12799/12799	---M--	200	added ('OK')	image/png	etag:%2222932-31ff-4c8ec36ad3280%22	http://www.cronoescalada.com/bootstrap/img/glyphicons-halflings.png	C:/Mis%20lugares%20Web/las%20valeras/www.cronoescalada.com/bootstrap/img/glyphicons-halflings.png	(from http://www.cronoescalada.com/bootstrap/css/bootstrap.css)
23:49:18	8777/8777	---M--	200	added ('OK')	image/png	etag:%2222931-2249-4c8ec36ad3280%22	http://www.cronoescalada.com/bootstrap/img/glyphicons-halflings-white.png	C:/Mis%20lugares%20Web/las%20valeras/www.cronoescalada.com/bootstrap/img/glyphicons-halflings-white.png	(from http://www.cronoescalada.com/bootstrap/css/bootstrap.css)
23:49:18	178/178	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:19	101/101	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:19	110/110	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_75_e6e6e6_1x400.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:19	111/111	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_75_dadada_1x400.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:19	105/105	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:20	120/120	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:20	119/119	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:20	4369/4369	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_222222_256x240.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_222222_256x240.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:20	4369/4369	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_888888_256x240.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_888888_256x240.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:21	4369/4369	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_454545_256x240.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_454545_256x240.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:21	4369/4369	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_2e83ff_256x240.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_2e83ff_256x240.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:21	4369/4369	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_cd0a0a_256x240.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-icons_cd0a0a_256x240.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
23:49:21	180/180	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2019:30:24%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/Mis%20lugares%20Web/las%20valeras/ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/images/ui-bg_flat_0_aaaaaa_40x100.png	(from http://ajax.googleapis.com/ajax/libs/jqueryui/1.8/themes/base/jquery-ui.css)
